"Age","Athlete","Gold","Date","Date (String)","Country"
"21","Anouk Leblanc-Boucher","false","2006-02-26","2006-02-26","Canada"
"25","François-Louis Tremblay","false","2006-02-26","2006-02-26","Canada"
"17","Choi Eun-Gyeong","true","2002-02-24","2002-02-24","South Korea"
"15","Go Gi-Hyeon","true","2002-02-24","2002-02-24","South Korea"
"23","Jonathan Guilmette","true","2002-02-24","2002-02-24","Canada"
"26","Li Jiajun","false","2002-02-24","2002-02-24","China"
"19","Apolo Anton Ohno","true","2002-02-24","2002-02-24","United States"
"24","Evgeniya Radanova","false","2002-02-24","2002-02-24","Bulgaria"
"25","Mathieu Turcotte","true","2002-02-24","2002-02-24","Canada"
"23","Wang Chunlu","false","2002-02-24","2002-02-24","China"
"24","Yang Yang (S)","false","2002-02-24","2002-02-24","China"
"27","Shani Davis","true","2010-02-28","2010-02-28","United States"
"33","Kristina Groves","false","2010-02-28","2010-02-28","Canada"
"32","Chad Hedrick","false","2010-02-28","2010-02-28","United States"
"23","Sven Kramer","true","2010-02-28","2010-02-28","Netherlands"
"21","Lee Seung-Hun","true","2010-02-28","2010-02-28","South Korea"
"21","Mo Tae-Beom","true","2010-02-28","2010-02-28","South Korea"
"27","Ivan Skobrev","false","2010-02-28","2010-02-28","Russia"
"29","Mark Tuitert","true","2010-02-28","2010-02-28","Netherlands"
"26","Joey Cheek","true","2006-02-26","2006-02-26","United States"
"23","Shani Davis","true","2006-02-26","2006-02-26","United States"
"29","Anni Friesinger-Postma","true","2006-02-26","2006-02-26","Germany"
"29","Kristina Groves","false","2006-02-26","2006-02-26","Canada"
"33","Clara Hughes","true","2006-02-26","2006-02-26","Canada"
"19","Sven Kramer","false","2006-02-26","2006-02-26","Netherlands"
"33","Claudia Pechstein","true","2006-02-26","2006-02-26","Germany"
"30","Carl Verheijen","false","2006-02-26","2006-02-26","Netherlands"
"30","Erben Wennemars","false","2006-02-26","2006-02-26","Netherlands"
"19","Ireen Wüst","true","2006-02-26","2006-02-26","Netherlands"
"31","Derek Parra","true","2002-02-24","2002-02-24","United States"
"29","Claudia Pechstein","true","2002-02-24","2002-02-24","Germany"
"25","Jennifer Rodriguez","false","2002-02-24","2002-02-24","United States"
"28","Simon Ammann","true","2010-02-28","2010-02-28","Switzerland"
"32","Adam Malysz","false","2010-02-28","2010-02-28","Poland"
"24","Matti Hautamäki","false","2006-02-26","2006-02-26","Finland"
"21","Andreas Kofler","true","2006-02-26","2006-02-26","Austria"
"29","Roar Ljøkelsøy","false","2006-02-26","2006-02-26","Norway"
"19","Thomas Morgenstern","true","2006-02-26","2006-02-26","Austria"
"20","Simon Ammann","true","2002-02-24","2002-02-24","Switzerland"
"27","Sven Hannawald","true","2002-02-24","2002-02-24","Germany"
"20","Matti Hautamäki","false","2002-02-24","2002-02-24","Finland"
"24","Adam Malysz","false","2002-02-24","2002-02-24","Poland"
"24","Niccolò Campriani","true","2012-08-12","2012-08-12","Italy"
"32","Jin Jong-O","true","2012-08-12","2012-08-12","South Korea"
"27","Olena Kostevych","false","2012-08-12","2012-08-12","Ukraine"
"28","Jin Jong-O","true","2008-08-24","2008-08-24","South Korea"
"24","Katerina Kurková-Emmons","true","2008-08-24","2008-08-24","Czech Republic"
"31","Lyubov Galkina","true","2004-08-29","2004-08-29","Russia"
"32","Mariya Grozdeva","true","2004-08-29","2004-08-29","Bulgaria"
"23","Lee Bo-Na","false","2004-08-29","2004-08-29","South Korea"
"35","Mikhail Nestruyev","true","2004-08-29","2004-08-29","Russia"
"37","Igor Basinsky","false","2000-10-01","2000-10-01","Belarus"
"26","Tao Luna","true","2000-10-01","2000-10-01","China"
"26","Kim Crow","false","2012-08-12","2012-08-12","Australia"
"32","Georgeta Damian-Andrunache","true","2008-08-24","2008-08-24","Romania"
"32","Viorica Susanu","true","2008-08-24","2008-08-24","Romania"
"28","Georgeta Damian-Andrunache","true","2004-08-29","2004-08-29","Romania"
"28","Viorica Susanu","true","2004-08-29","2004-08-29","Romania"
"24","Georgeta Damian-Andrunache","true","2000-10-01","2000-10-01","Romania"
"31","Doina Ignat","true","2000-10-01","2000-10-01","Romania"
"28","Pieta van Dishoeck","false","2000-10-01","2000-10-01","Netherlands"
"31","Eeke van Nes","false","2000-10-01","2000-10-01","Netherlands"
"29","Bill Demong","true","2010-02-28","2010-02-28","United States"
"27","Bernhard Gruber","true","2010-02-28","2010-02-28","Austria"
"22","Magnus Moan","false","2006-02-26","2006-02-26","Norway"
"24","Ronny Ackermann","false","2002-02-24","2002-02-24","Germany"
"20","Jaakko Tallus","true","2002-02-24","2002-02-24","Finland"
"19","Denis Ablyazin","false","2012-08-12","2012-08-12","Russia"
"27","Chen Yibing","true","2012-08-12","2012-08-12","China"
"16","Gabby Douglas","true","2012-08-12","2012-08-12","United States"
"24","Feng Zhe","true","2012-08-12","2012-08-12","China"
"22","Sandra Izbasa","true","2012-08-12","2012-08-12","Romania"
"17","Viktoriya Komova","false","2012-08-12","2012-08-12","Russia"
"16","McKayla Maroney","true","2012-08-12","2012-08-12","United States"
"24","Marcel Nguyen","false","2012-08-12","2012-08-12","Germany"
"17","Mariya Paseka","false","2012-08-12","2012-08-12","Russia"
"24","Catalina Ponor","false","2012-08-12","2012-08-12","Romania"
"23","Louis Smith","false","2012-08-12","2012-08-12","Great Britain"
"19","Max Whitlock","false","2012-08-12","2012-08-12","Great Britain"
"23","Chen Yibing","true","2008-08-24","2008-08-24","China"
"23","Anton Golotsutskov","false","2008-08-24","2008-08-24","Russia"
"16","He Kexin","true","2008-08-24","2008-08-24","China"
"22","Jonathan Horton","false","2008-08-24","2008-08-24","United States"
"18","Sandra Izbasa","true","2008-08-24","2008-08-24","Romania"
"27","Li Xiaopeng","true","2008-08-24","2008-08-24","China"
"19","Kohei Uchimura","false","2008-08-24","2008-08-24","Japan"
"23","Xiao Qin","true","2008-08-24","2008-08-24","China"
"17","Alexandra Eremia","true","2004-08-29","2004-08-29","Romania"
"26","Annia Hatch","false","2004-08-29","2004-08-29","United States"
"18","Terin Humphrey","false","2004-08-29","2004-08-29","United States"
"24","Takehiro Kashima","true","2004-08-29","2004-08-29","Japan"
"25","Svetlana Khorkina","false","2004-08-29","2004-08-29","Russia"
"18","Courtney Kupets","false","2004-08-29","2004-08-29","United States"
"16","Anna Pavlova","false","2004-08-29","2004-08-29","Russia"
"17","Monica Rosu","true","2004-08-29","2004-08-29","Romania"
"16","Dana Sofronie","true","2004-08-29","2004-08-29","Romania"
"23","Hiroyuki Tomita","true","2004-08-29","2004-08-29","Japan"
"28","Marius Urzica","false","2004-08-29","2004-08-29","Romania"
"26","Isao Yoneda","true","2004-08-29","2004-08-29","Japan"
